id,en,ru,in,vi,pt,el,de,es,cs,it,pl,fr
connected,Connected to,Подключено к,Terhubung,Đã kết nối tới,Conectado a,Συνδεδεμένος,Verbunden,Conectado a,Připojeno,Collegato a,Połączono z,Connecté à
connecting,Connecting to,Подключение к,Menghubungkan,Đang kết nối tới,Conectando à,Συνδέομαι,Verbinden mit,Conectado a,Připojování,Collegando a,Łączenie z,Connexion à
contacts,Contacts,Контакты,Kontak,Danh bạ,Contatos,Επαφές,Kontakte,contactos,Kontakty,Contatti,Kontakty,Contacts
customization,Customization,Кастомизация,Kustomisasi,Tùy biến,Costumização,Προσαρμογή,Anpassen,personalización,Přizpůsobení,Personalizzazione,Ustawienia BT,Personnalisation
delete,Delete,Удалить,Menghapus,Xóa bỏ,Excluir,Διαγραφή,Löschen,Eliminar,Vymazat,Cancella,Usuń,Effacer
disconnected,Disconnected from,Отключено от,Terputus,ngắt kết nối từ,desconectado da,αποσυνδέθηκε από,Getrennt von,desconectado de,Odpojen,Disconnesso da,Rozłączono,Déconnecté de
disconnecting,Disconnecting from,Отключение от,Memutuskan,đang ngắt kết nối,Desligar do,Αποσύνδεση από,Trennen von,desconectar de,Odpojuji,Disconnettendo da,Rozłączanie,Déconnexion de
distance,distance,расстояние,Jarak,khoảng cách,distância,απόσταση,Entfernung,distancia,Vzdálenost,distanza,odległość,distance
enable_lock,Enable the app to lock the phone,Разрешить приложению блокировать телефон,Dapat mengunci ponsel,Bật ứng dụng để khóa điện thoại,Ativar o aplicativo para bloquear o telefone,Ενεργοποιήστε την εφαρμογή για να κλειδώσετε το τηλέφωνο,"Aktiviere die App um das Telefon zu sperren",Habilitar la aplicación para bloquear el teléfono,Povolte aplikaci uzamčení telefonu,Consenti all'app di bloccare il telefono,"Włącz aplikację by zablokować telefon",Autoriser l'app à verrouiller le téléphone
error_log,Error Log,Журнал Ошибок,Error Log,nhật ký lỗi ,Erro Log,Αρχείο καταγραφής σφαλμάτων,Fehlerprotokoll,Registro de errores,Chybový protokol,Log degli errori,Rejestr błędów,Journal d'erreurs
everyday,Everyday,Каждый день,Setiap hari,Hằng ngày,Todos os dias,Κάθε μέρα,Täglich,Todos los días,Každý den,Ogni giorno,Codziennie,Tous les jours
filter_info,Press enter to add another filter. Long press item to delete,"Нажмите Enter чтобы добавить еще один фильтр. Долгое нажатие для удаления",Tekan enter untuk menambahkan filter lain. Tekan lama item untuk menghapus,Nhấn Enter để thêm bộ lọc khác. Nhấn và giữ để xóa,Pressione Enter para adicionar outro filtro. item de pressão longa para apagar,Πατήστε enter για να προσθέσετε ένα άλλο φίλτρο. Long στοιχείο πιέστε για να διαγράψετε,Drücken um einen anderen Filter hinzuzufügen. Lange drücken für Inhalt löschen,Pulse ENTER para añadir otro filtro. elemento de pulsación larga para borrar,Stiskněte klávesu Enter pro přidání dalšího filtru. Dlouhým stiskem položku smažte,Premi invio per aggiungere un altro filtro. Premi a lungo per cancellare,"Wciśnij Enter aby dodać kolejny filtr. Przytrzymaj długo pozycję aby ją usunąć",Appuyer sur entrée pour ajouter un autre filtre. Appui long sur l'item pour effacer
find_phone,Find Phone,Найти телефон,Temukan telepon,Tìm điện thoại,Encontrar Telefone,Εύρεση Τηλεφώνου,Telefon finden,hallazgo de teléfono,Najdi telefon,Trova il telefono,Znajdź telefon,Trouver téléphone
find_w,Find Watch,Найти часы,Temukan Jam Tangan,Tìm đồng hồ,encontrar Assista,Βρείτε Παρακολουθήστε,Uhr finden,Encuentra reloj,Najdi hodinky,Trova l'orologio,Znajdź zegarek,Trouver la montre
find_watch,Finding watch,Ищу часы,Temukan jam tangan,Đang tìm kiếm đồng hồ,Encontrar relógio,Εύρεση Ρολογιου,Uhr suchen,reloj hallazgo,Vyhledávám hodinky,Ricerca orologio in corso,Szukam zegarka,Recherche la montre
flip_vertically,Flip display vertically,Повернуть дисплей по вертикали,Balik layar secara vertikal,Lật hiển thị theo chiều dọc,visor aleta verticalmente,Flip οθόνη κάθετα,Anzeige vertikal drehen,flip pantalla verticalmente,Překlopí displej svisle,Inverti verticalmente lo schermo,Obróć ekran pionowo,Basculer l'affichage verticalement
flip_vertically_summary,Enable to flip the display vertically,Разрешить поворачивать дисплей по вертикали,Enable to flip the display vertically,Kích hoạt tính năng để lật màn hình theo chiều dọc,Activar para inverter a exibição na vertical,Ενεργοποίηση για να αναστρέψετε την οθόνη κάθετα,Aktivieren der Anzeige vertikal kippen,Habilitado para voltear la pantalla verticalmente,Povolí vertikální převrácení displeje,Abilita per invertire verticalmente lo schermo,"Włącz aby obrócić ekran pionowo",Autoriser le basculement vertical de l'affichage
fr,F,Пт,F,F,F,φρ,F,F,Fr,V,P,V
frequent,Frequent contacts,Частые контакты,Kontak yang sering,Liên lạc thường xuyên,Contatos frequentes,Συχνότητα,Häufige Kontakte,Contactos frecuentes,Časté kontakty,Contatti preferiti,Częste kontakty,Contacts fréquents
fri,Fri,Пт,Fri,Thứ 6,livre,Παρ,Fr,gratis,Pátek,Ven,Pt,Ven
grant_notification,Looks like you must first grant this app to access notifications. Do you want to continue?,"Похоже вы должны сначала предоставить этому приложению доступ к уведомлениям. Вы хотите продолжить?",Sepertinya Anda harus memberikan aplikasi ini terlebih dahulu untuk mengakses notifikasi. Apakah Anda ingin melanjutkan?,Trước tiên bạn phải cấp phép cho ứng dụng này quyền truy cập thông báo. Bạn có muốn tiếp tục?,Parece que você deve primeiro conceder este aplicativo para notificações de acesso. Você quer continuar?,Μοιάζει θα πρέπει πρώτα να χορηγήσει αυτό το app για να ειδοποιήσεις πρόσβασης. Θέλετε να συνεχίσετε;,Diese App benötigt Zugriff auf Benachrichtigungen. Wollen Sie fortfahren?,Parece que deben conceder por primera vez esta aplicación para acceder a las notificaciones. ¿Quieres continuar?,"Zdá se že nejprve musíte této aplikaci udělit přístup k oznámení. Chcete pokračovat?",Sembra che tu debba prima consentire a questa app di accedere alle notifiche. Vuoi continuare?,Musisz przyznać aplikacji uprawnienia do powiadomień. Zgoda?,"Vous devez avant toute chose autoriser l'accès aux notifications pour cette application. Voulez-vous continuer?"
health,Health,Здоровье,Health,Sức khỏe,Saúde,Υγεία,Gesundheit,Salud,Zdraví,Salute,Zdrowie,Santé
height,Height,Рост,Height,Chiều cao,Altura,Υψος,Größe,Altura,Výška,Altezza,Wzrost,Taille
hourly,Hourly Measure,Ежечасное измерение,Pengukuran setiap jam,Đo theo giờ,medida por hora,ωριαία μέτρο,Stündlich Erinnerung,medida por hora,Hodinová měření,Misura ogni ora,Pomiar godzinowy,Mesure toutes les heures
hr12_sys,12 hour system,12-часовая система,Sistem 12 jam,Hệ thống 12 giờ,sistema 12 horas,σύστημα 12 ώρες,12-Stunden-System,sistema de 12 horas,12 hodinové nastavení,Sistema 12 ore,12-godzinny zegar,Horloge sur 12 heures
hrm,Heart Rate,Пульс,Heart Rate,Nhịp tim,Frequência cardíaca,ΠΑΛΜΟΣ ΚΑΡΔΙΑΣ,Pulsschlag,Ritmo cardiaco,Tepová frekvence,Battiti cuore,Puls,Pulsations cardiaques
icon_set,Icon set,Набор иконок,Icon set,Set Biểu tượng,jogo do ícone,εικονίδιο,Icon-Set,conjunto de iconos,Nastavení ikon,Set icone,Zestaw ikon,Jeu d'icônes
imperial,Imperial units,Имперские единицы,Unit kekaisaran,đơn vị Imperial,unidades imperiais,Imperial μονάδες,imperiale Einheiten,unidades imperiales,Národní jednotky,Unità di misura imperiali,Jednostki brytyjskie,Unités impériales
info_once,Tap once to select an SOS contact\nLong press to remove a contact\nClick the sync button above to upload contacts,"Нажмите один раз чтобы выбрать контакт SOS\nНажмите и удерживайте чтобы удалить контакт\nНажмите кнопку синхронизации выше чтобы загрузить контакты",Ketuk sekali untuk memilih kontak SOS \nTekan lama untuk menghapus kontak \nKlik tombol sinkronkan di atas untuk mengunggah kontak,Nhấn một lần để chọn một liên hệ SOS \nNhấn lâu để xóa một liên hệ \nNhấp vào nút đồng bộ ở trên để tải lên các liên hệ,Toque uma vez para selecionar um contato SOS \nlong pressione para remover um contato \nClique no botão sync acima para contatos de upload,Πατήστε μία φορά για να επιλέξετε μια επαφή SOS \nLong πατήστε για να αφαιρέσετε μια επαφή \nΚάντε κλικ στο κουμπί συγχρονισμού παραπάνω στις επαφές αποστολή,"Einmal tippen um SOS-Kontakt auszuwählen \n Lang gedrückt halten, um Kontakt zu löschen \n Klicke den Sync-Button oben für Upload Kontakte",Pulse una vez para seleccionar un contacto de SOS \n prensa Nlong para eliminar un contacto \nPulsa el botón de sincronización de arriba para cargar los contactos,Jedním klepnutím vyberte kontakt SOS \n Dlouhým stisknutím kontakt odstraníte \n Kliknutím na tlačítko synchronizace výše nahrajete kontakty,Tocca una volta per selezionare il contatto SOS\nPremi a lungo per rimuovere un contatto\nPremi il bottone di sincronizzazione in alto per caricare i contatti,"Dotknij raz  aby wybrać kontakt SOS\nNaciśnij i przytrzymaj aby skasować kontakt\nNaciśnij Synchronizuj aby załadować kontakty",Appui simple pour sélectionner un contact SOS\nAppui long pour supprimer un contact\nAppui sur Sync pour ajouter des contacts
kcal,kcal,ккал,kcal,kcal,kcal,kcal,kcal,kcal,kcal,kcal,kcal,kcal
kg,kg,кг,kg,Kilôgam,kg,κιλό,kg,kg,kg,kg,kg,kg
km,km,км,km,km,km,km,km,km,km,km,km,km
later,Later,Позже,Kemudian,Một lát sau,Mais tarde,Αργότερα,Später,Más tarde,Později,Dopo,Później,Plus tard
load_apps,Loading your apps,Загрузка ваших приложений,Loading your apps,Tải ứng dụng của bạn,Carregando seus aplicativos,Φόρτωση εφαρμογων,Laden Sie Ihre Apps,Cargando las aplicaciones,Načítám aplikace...,Apps in carica,Ładuję twoje aplikacje,Chargement des applis
loading,Loadingâ€¦,Загружается ...,MemuatÃ¢â‚¬Â¦,Đang tải,Carregando...,Φόρτωση,Ladenâ€¦,Loadingâ € |,Načítám...,In caricaâ€¦,Ładowanieâ€¦,Chargement
lock_phone,Lock phone on Find,Заблокировать телефон при поиске,Kunci ponsel di Find,Tìm để khoá điện thoại,telefone bloqueio sobre Find,Κλείδωμα του τηλεφώνου για Αναζήτηση,Gesperrtes Telefon suchen,Bloqueo del teléfono activado Búsqueda,Zamknout telefon při hledání,Blocca il telefono dopo la Ricerca,Zablokuj telefon przy szukaniu go,Verrouiller le téléphone quand il est retrouvé
log_deleted,Log file deleted,Журнал ошибок удален,Log file deleted,Nhật ký file bị xóa,arquivo de log excluídos,αρχείο καταγραφής διαγράφεται,Log-Datei gelöscht,archivo de registro borrado,Soubor protokolu odstraněn,File del log cancellato,Rejestr błędów skasowany,Fichier journal supprimé
loss_link,Lost link to,Потеряно соединение с,Lost link to,Mất liên kết đến,elo perdido para,Lost σύνδεση με,Verlorene Verbindung zu,eslabón perdido a,Ztracený odkaz,Perso collega a,Rozłączono z,Lien perdu
mac_addr,Mac Address,MAC-адрес,Mac Address,Địa chỉ MAC,Endereço MAC,Διεύθυνση MAC,MAC-Adresse,Dirección MAC,Mac Adresa,Mac Address,MAC adres,Adresse MAC (BT)
mac_format_error,Format must be A1:BB:3C:44:DE:9F,Формат должен быть A1:BB:3C:44:DE:9F,Format must be A1:BB:3C:44:DE:9F,Format phải là A1:BB:3C:44:DE:9F,Formato deve ser A1:BB:3C:44:DE:9F,Μορφή πρέπει να είναι A1:BB:3C:44:DE:9F,Format muss A1:BB:3C:44:DE:9F,Formato debe ser A1:BB:3C:44:DE:9F,Formát musí být A1:BB:3C:44:DE:9F,Il formato deve essere A1:BB:3C:44:DE:9F,Format musi być A1:BB:3C:44:DE:9F,Doit être au format A1:BB:3C:44:DE:9F
metric,Metric units,Метрические единицы,Satuan metrik,Đơn vị hệ mét,Unidades métricas,Μετρηση μονάδων,Metrische Einheiten,Unidades metricas,Metrické jednotky,Unità metriche,Jednostki metryczne,Unités métriques
miles,miles,миль,mil,Dặm,milhas,μίλια,Meilen,millas,míle,miglia,mile,miles
mmHg,mmHg,мм рт. ст.,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg,mmHg
mo,M,Пн,M,M,M,Μ,M,METRO,M,L,P,M
mon,Mon,Пн,Saya,Thứ 2,Minhas,Mon,Mo,Mi,Pondělí,Lun,Pon,Lun
mon_fri,Mon - Fri,Пн - Пт,Sen - Jum,Thứ 2 ~ Thứ 6,2a. A 6a,Δευτέρα - Παρασκευή,MO - FR,Lunes - Viernes,Po - Pá,Lun - Ven,Pon - Pt,Lun - Ven
no_errors,No errors to show,Нет ошибок для отображения,Tidak ada kesalahan untuk ditampilkan,Không có lỗi để hiển thị,Sem erros para mostrar,Δεν υπάρχουν λάθη στην εμφάνιση,Keine Fehler gefunden,No hay errores para mostrar,Žádné chyby k zobrazení,Nessun errore da visualizzare,Brak błędów,Aucune erreur à montrer
not_connect,Watch not connected,Часы не подключены,Watch not connected,Đồng hồ không được kết nối,Relógio não conectado,Το ρολοι δεν είναι συνδεδεμένο,Uhr nicht verbunden,Mira no está conectado,Hodinky nejsou připojeny,Orologio non connesso,Zegarek nie połączony,Montre non connectée
not_disconnect,Show notification when the device looses connection,"Показывать уведомление, когда связь с часами потеряна",Show notification when the device looses connection,Hiển thị thông báo khi thiết bị mất kết nối,Mostrar notificação quando o dispositivo perde conexão,Εμφάνιση ειδοποίησης όταν η συσκευή χάνει την σύνδεση,"Benachrichtigung anzeigen, wenn Gerät nicht verbunden ist",Mostrar una notificación cuando el dispositivo pierde la conexión,"Zobrazovat upozornění, když zařízení ztratí spojení",Mostra una notifica quando il dispositivo si disconnette,"Powiadomienia gdy zegarek utracił połączenie",Affiche une notification quand perte de connexion
not_enable,Not enabled,Не включено,Tidak diaktifkan,Không được kích hoạt,Não habilitado,Δεν είναι ενεργοποιημένη,Nicht aktiviert,No disponible,Není povoleno,Non abilitato,Wyłączono,Non activé
not_list,Notification list,Список уведомлений,Daftar pemberitahuan,Danh sách thông báo,lista de notificação,λίστα Κοινοποίηση,Benachrichtigungsliste,lista de notificaciones,Seznam oznámení,Lista notifiche,Lista powiadamianych,Liste de notifications
not_paired,Device not on the list? Pair in the phones Bluetooth settings first,Устройства нет в списке? Сначала выполните сопряжение в настройках Bluetooth телефона,Perangkat tidak ada dalam daftar? Pasangkan dulu pengaturan Bluetooth telepon,Thiết bị không có trong danh sách? Ghép nối trong cài đặt BT của điện thoại trước tiên,Dispositivo não está na lista? vá às definições de telefones Bluetooth primeiro,Η συσκευή δεν περιλαμβάνεται στον κατάλογο; Καντε ζευγος απο τις ρυθμίσεις Bluetooth στο τηλέφωνο πρώτα,Gerät nicht auf der Liste? Fürs Verbinden gehe zunächst in den Bluetooth Einstellungen des Telefons,El dispositivo no en la lista? Par en la configuración de los teléfonos Bluetooth primero,Zařízení není na seznamu? Spárujte telefon nejprve v nastavení Bluetooth,Il dispositivo non è presente nella lista? Associa prima nelle impostazioni Bluetooth del telefono,Brak zegarka na liście? Sparuj urządzenie w ustawieniach BT telefonu,Appareil absent de la liste? Appairer votre montre dans les paramètres Bluetooth en premier
nothing,Nothing to delete,Нечего удалять,Nothing to delete,Không có gì để xóa,Nada para apagar,Τίποτα για να διαγράψετε,Nichts zu löschen,No hay nada que borrar,Nic k smazání,Niente da cancellare,Nic do skasowania,Rien à effacer
notification_access,Notification access,Доступ к уведомлениям,Akses pemberitahuan,Truy cập thông báo,acesso notificação,πρόσβαση Ειδοποιησης,Benachrichtigungszugriff,acceso a notificaciones,Přístup k oznámení,Accesso alle notifiche,Dostęp do powiadomień,Accès aux notifications
notification_access_summary,Grant access to status notifications,Предоставить доступ к уведомлениям о статусе,Grant access to status notifications,Cấp quyền truy cập tới thông báo trạng thái,Conceda acesso a notificações de status,Παραχώρηση πρόσβασης σε ειδοποιήσεις κατάστασης,Zugriff auf Statusmeldungen erlauben,Permitir el acceso a las notificaciones de estado,Udělit přístup k oznámení o stavu,Fornisci accesso alle notifiche di stato,Przyznaj dostęp do powiadomień,Autoriser l'accès aux notifications
notifications,Notifications,Уведомления,Pemberitahuan,Thông báo,notificações,Ειδοποιήσεις,Benachrichtigungen,Notificaciones,Oznámení,Notifiche,"Powiadomienia gdy zegarek utracił połączenie",Notifications
notify_disconnect,Notify on disconnect,Уведомлять об отключении,Notify on disconnect,Thông báo về ngắt kết nối,Notificar-me por desconexão,Ειδοποίηση για αποσύνδεση,Benachrichtigen beim Trennen,Notificar al desconectar,Upozornit na odpojení,Invia notifica alla disconnessione,Powiadom gdy rozłączony,Notifier à la déconnexion
once,Once,Один раз,Sekali,Một lần,Uma vez,Μια φορά,Einmal,Una vez,Jednou,Una volta,Jeden raz,Une seule fois
optimize_app,Optimize app,Оптимизировать,Optimalkan,Tối ưu hóa ứng dụng ,aplicativo otimizado ,Βελτιστοποίηση εφαρμογών,App optimieren,Optimizar aplicación,Optimalizovat aplikace,Ottimizzare l'app,Optymalizacja,Optimiser l'appli
phone_bat,Phone battery:,Аккумулятор телефона,Baterai ponsel,Pin điện thoại:,bateria do telefone:,Μπαταρία του τηλεφώνου:,Telefon-Akku:,batería del teléfono:,Baterie telefonu,Batteria del telefono:,Akumulator telefonu,Batterie téléphone:
plugged,Plugged in,Подключено,Dicolokkan,Cắm vào,conectado,Συνδεδεμένος,Eingesteckt,Conectado,Zapojený,Collegato,Podłączony,Branché
preferences,Preferences,Предпочтения,Preferences,Sở thích,preferências,Προτιμήσεις,Voreinstellungen,preferencias,Předvolby,Preferenze,Ustawienia,Préférences
priority,Notification priority,Приоритет уведомления,Notification priority,ưu tiên thông báo,prioridade notificação,Προτεραιότητα ειδοποιήσεων,Mitteilung Priorität,prioridad de notificaciones,Priority oznámení,Priorità notifica,Priorytet powiadomień,Priorité des notifications
quiet,Quiet Hours,Тихие часы,Jam Tenang,Giờ yên tĩnh,Horário sem notificações,Ωρες ΚΟΙΝΗΣ ΗΣΥΧΙΑΣ,Nicht stören,Horas tranquilas,Noční klid,Modalità silenziosa,Godziny snu,Heures calmes
raise_wake,Raise to wake,Взмах рукой для пробуждения,Bangun untuk bangun,Lắc để hiển thị màn hình,Levante o pulso para ativa-lo,Σηκώστε να ξυπνήσει,Bewegen für Aufwachen,Aumento a raíz,Při zvednutí probudit,Solleva per accendere lo schermo,Podnieś rękę aby wybudzić zegarek,Lever le poignet pour réveiller la montre
reminder,Reminders,Напоминания,Pengingat,nhắc nhở,lembretes,Υπενθυμίσεις,Erinnerungen,recordatorios,Připomenutí,Promemoria,Przypomnienia,Rappels
remote_mac_address_default,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00
remote_mac_address,Remote MAC address,MAC-адрес часов (см. настр.),Remote MAC address,địa chỉ MAC từ xa,endereço MAC remoto,Απομακρυσμένη διεύθυνση MAC,Remote-MAC-Adresse,dirección MAC remota,Vzdálená adresa MAC,Indirizzo MAC remoto,MAC adres zegarka,Adresse MAC distante
reset_info,This will reset all watch data. Are you sure?,Это сбросит все данные часов. Вы уверены?,Ini akan mengatur ulang semua data jam tangan. Apakah kamu yakin,Điều này sẽ đặt lại tất cả dữ liệu đồng hồ. Bạn có chắc không?,Isso irá redefinir todos os dados do relógio. Você tem certeza?,Επαναφορα εργοστασιακων ρυθμισεων Είσαι σίγουρος?,"Dadurch werden alle Daten der Uhr zurückgesetzt. Sind Sie sicher, um Fortzufahren?",Esto restablecerá todos los datos de vigilancia. ¿Estás seguro?,Vymaže všechna data hodinek. Jsi si jistý?,Questa operazione eliminerà tutti i dati dell'orologio. Sei sicuro?,Resetowanie ustawień zegarka. Jesteś pewien?,"Effacer toutes les données de la montre, êtes-vous certain?"
reset_watch,Reset watch,Сбросить часы,Setel ulang jam tangan,Đặt lại đồng hồ,Resetar o relógio,Επαναφορά ρολογιού,Reset-Uhr,reloj de reposición,Resetovat hodinky,Resetta l'orologio,Resetuj zegarek,Réinitialiser la montre
run_as_service,Run as a service,Запуск как сервис,Jalankan sebagai layanan,Chạy như một dịch vụ,Funcionar como um serviço,Λειτουργεί ως υπηρεσία,Als Dienst ausführen,Funcionar como un servicio,Spustit jako službu,Esegui come servizio,Uruchom w tle,Exécuter en tant que service
run_as_service_summary,Run this application as a service without keeping the app open,"Запустите это приложение как службу, не открывая приложение",Jalankan aplikasi ini sebagai layanan tanpa membiarkan aplikasi tetap terbuka,Chạy ứng dụng này như một dịch vụ mà không cần giữ mở ứng dụng,Executar este aplicativo em segundo plano,"Εκτέλεση αυτής της εφαρμογής ως υπηρεσία, χωρίς κρατώντας την ανοιχτή εφαρμογή",Anwendung im Hintergrund weiter ausführen,Ejecutar esta aplicación como un servicio sin mantener abierta la aplicación,"Spustit tuto aplikaci jako službu, aniž byste ji nechali otevřenou",Esegui questa app come servizio in secondo piano,Uruchom aplikację w tle,Exécuter cette application en tant que service sans laisser l'appli affichée
sa,S,Сб,S,S,S,Σα,S,S,Sat,S,S,S
sat,Sat,Сб,Duduk,Thứ 7,Sentou,Sat,Sa,Se sentó,Sobota,Sab,Sob,Sam
save,Save,Сохранить,Save,Lưu,Salve ,Σώσιμο,Speichern,Salvar,Uložit,Salva,Zapisz,Sauvegarder
scan,Scanning...,Сканирование...,Scanning…,Đang quét…,Scanning...,Σάρωση...,Scannen...,Scanning..,Hledej...,Ricerca...,Skanowanie...,En cours de scan
sedentary,Sedentary,Неподвижное состояние,Menetap,Nhắc nhở ít vận động,Sedentário,Καθιστικός,Zu wenig Bewegung,Sedentario,Výstraha bez pohybu,Sedentarietà,Неподвижное состояние,Sédentaire
self_test,Self Test,Самодиагностика,Uji diri,Tự kiểm tra,Auto teste,Τεστ αυτοαξιολογισης,Selbsttest,Autotest,Vlastní test,Test automatico,Samotestowanie,Auto test
self_test_notif,Self test notification,Уведомление о самодиагностике,Pemberitahuan uji mandiri,tự kiểm tra thông báo ,notificação auto-teste,κοινοποίηση Αυτοέλεγχος,Selbsttest Benachrichtigung,la notificación de autocomprobación,Oznámení vlastního testu,Notifica test automatico,Powiadomienie o testowaniu,Auto test de notification
send,Send,Отправить,Send,Gửi,Enviar,Στείλτε,Senden,Enviar,Poslat,Invia,Wyślij,Envoyer
service_name,DT78 Service,DT78 Сервис,Layanan DT78,Dịch vụ DT78,Serviço DT78,DT78 Υπηρεσία,DT78-Service,Servicio DT78,DT78 Service,Servizio DT78,DT78 Serwis,DT78 Service
